Land	Ganztag	Teiltag	Ubernachtung
Afghanistan	 30	 20	 95
Ägypten	50	 33	 112
Äthiopien	 44	 29	 159
Äquatorialguinea	42	 28	 166
Albanien	 27	 18	 112
Algerien	 47	 32	 120
Andorra	41	 28	 91
Angola	 40	 27	 368
Argentinien	 35	 24	 113
Armenien	 29	 20	 107
Aserbaidschan	44	 29	 88
Australien
- Canberra	 74	 49	 186
- Sydney	57	 38	 173
- im Übrigen	 57	 38	 173
Bahrain	48	 32	 153
Bangladesch	 46	 31	 189
Barbados	 54	 36	 206
Belgien	59	 40	 141
Benin	 40	 27	 168
Bhutan	 27	 18	 176
Bolivien	 46	 31	 108
Bosnien und Herzegowina	 23	 16	 75
Botsuana	 46	 31	 176
Brasilien
- Brasilia	 51	 34	 88
- Rio de Janeiro	 69	 46	 140
- Sao Paulo	46	 31	 151
- im Übrigen	 46	 31	 88
Brunei	 45	 30	 110
Bulgarien	 22	 15	 115
Burkina Faso	 38	 25	 174
Burundi	36	 24	 138
Chile	 44	 29	 154
China
- Chengdu	 41	 28	 131
- Hongkong	71	 48	 169
- Kanton	 36	 24	 150
- Peking	 30	 20	 185
- Shanghai	58	 39	 217
- im Übrigen	 48	 32	 112
Costa Rica	 60	 40	 127
Côte d’Ivoire	 59	 40	 166
Dänemark	75	 50	 183
Deutschland	28	14	0
Dominikanische Republik	50	 33	 167
Dschibuti	 77	 52	 255
Ecuador	 27	 18	 103
El Salvador	65	 44	 161
Eritrea	 46	 31	 78
Estland	 29	 20	 85
Fidschi	 32	 21	 183
Finnland	54	 36	 171
Frankreich
- Paris sowie die	 58	 39	 159
Departments 77, 78, 91 bis 95
- im Übrigen	53	 36	 105
Gabun	64	 43	 263
Gambia	 40	 27	 161
Georgien	45	 30	 87
Ghana	46	 31	 203
Griechenland
- Athen	 40	 27	 139
- im Übrigen	36	 24	 150
Guatemala	 46	 31	 124
Guinea	 59	 40	 140
Guinea-Bissau	 32	 21	 113
Haiti	58	 39	 130
Honduras	57	 38	 198
Indien
- Bangalore	 42	 28	 155
- Chennai	22	 15	 80
- Kalkutta	 32	 21	 167
- Mumbai	 53	 36	 218
- Neu Delhi	 46	 31	 211
- im Übrigen	22	 15	 80
Indonesien	 45	 30	 179
Iran	 33	 22	 196
Irland	58	 39	 129
Island	62	 41	 187
Israel	66	 44	 190
Italien
- Mailand	42	 28	 191
- Rom	 48	 32	 150
- im Übrigen	42	 28	 150
Jamaika	 39	 26	 171
Japan
